LABEL,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,attractiveness,OBJECTID,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,ORIG_FID,UNIQUE_ID,Shape_Length,Shape_Area,LABEL_1
UNIQU_987,0,115,173,2396,889,29,0.934397556912826,988,2394282,Hampton,CITY,659464,19,Dakota,743,8639.365340480000668,2374,987,8639.365340481917883,3266074.410932576749474,UNIQU_987
UNIQU_988,0,1,30,1562,2015,0,0.994761640798226,989,2394334,Hayfield,CITY,659465,20,Dodge,1396,8970.620049979999749,1921,988,8970.620049979230316,3251040.904709129128605,UNIQU_988
UNIQU_989,0,204,1378,98234,5409,10,0.990303606214663,990,664425,Hayfield,TOWNSHIP,659465,20,Dodge,485,48570.396397099997557,1968,989,48570.396397112162958,94687063.585811048746109,UNIQU_989
UNIQU_990,0,7042,3989,67015,3667,160,0.891402538077266,991,664346,Greenvale,TOWNSHIP,659464,19,Dakota,784,41659.273679999998421,1355,990,41659.273680010104727,73711048.709942758083344,UNIQU_990
UNIQU_991,0,22790,46027,19652,6298,10207,0.444298588221845,992,664235,Frohn,TOWNSHIP,659449,04,Beltrami,1623,38872.310183900000993,1382,991,38872.310183865178260,94407905.769165545701981,UNIQU_991
UNIQU_992,0,1340,7452,84988,5348,1,0.942719083214801,993,664386,Hampton,TOWNSHIP,659464,19,Dakota,826,50929.746367899999314,2739,992,50929.746367941268545,89137493.456644147634506,UNIQU_992
UNIQU_993,0,33041,43211,23637,3260,148,0.459698732780236,994,664427,Hayland,TOWNSHIP,659493,48,Mille Lacs,542,38403.358297999999195,2323,993,38403.358298043625837,92888161.177868083119392,UNIQU_993
UNIQU_994,0,18,75,1155,540,0,0.965771812080537,995,2394338,Hayward,CITY,659469,24,Freeborn,244,5628.297663970000031,206,994,5628.297663972775808,1579619.711536367889494,UNIQU_994
UNIQU_995,0,3548,13693,88125,8056,205,0.897788377762328,996,664468,High Forest,TOWNSHIP,659500,55,Olmsted,981,111499.448850000000675,2735,995,111499.448850292203133,102289702.303946405649185,UNIQU_995
UNIQU_996,0,3280,2886,86525,6193,3242,0.922393905567632,997,664429,Hayward,TOWNSHIP,659469,24,Freeborn,335,44327.766604900003585,2116,996,44327.766604934236966,91936945.167264446616173,UNIQU_996
UNIQU_997,0,91121,266,10107,1667,5,0.203482736560495,998,664387,Hamre,TOWNSHIP,659449,04,Beltrami,19,38588.581982499999867,117,997,38588.581982505886117,92855516.378935158252716,UNIQU_997
UNIQU_998,0,130,4,1458,439,7,0.937978410206084,999,2394998,Greenwald,CITY,659517,73,Stearns,203,6566.105164949999562,263,998,6566.105164954879911,1832429.187755380291492,UNIQU_998
UNIQU_999,0,45,16,648,532,0,0.959629331184529,1000,2394830,Frost,CITY,659467,22,Faribault,212,4385.800610459999916,2567,999,4385.800610459387826,1113338.141667527379468,UNIQU_999
UNIQU_1000,0,49,0,1866,267,0,0.979789184234647,1001,2394339,Hazel Run,CITY,659531,87,Yellow Medicine,53,5670.518867849999879,1843,1000,5670.518867848091759,1968019.841879748273641,UNIQU_1000
UNIQU_1001,0,97,0,909,1588,16,0.960421455938697,1002,2394283,Hancock,CITY,659519,75,Stevens,837,8428.790562250000221,1526,1001,8428.790562247213529,2356093.810880784410983,UNIQU_1001
UNIQU_1002,0,16276,47553,1771,4143,8290,0.340404700575398,1003,664349,Greenway,TOWNSHIP,659476,31,Itasca,838,54849.959834200002661,1077,1002,54849.959834195928124,70270098.256747111678123,UNIQU_1002
UNIQU_1003,0,61,83,955,1831,223,0.896067237551538,1004,2394832,Fulda,CITY,659496,51,Murray,1381,9396.487461250000706,135,1003,9396.487461251150307,2826184.835618019569665,UNIQU_1003
UNIQU_1004,0,12075,4635,74184,5422,56,0.857795832814510,1005,664272,Gilmanton,TOWNSHIP,659450,05,Benton,834,58893.794228400001884,705,1004,58893.794228367201868,86782807.903483241796494,UNIQU_1004
UNIQU_1005,0,1029,1664,45830,2384,426,0.954210741628192,1006,664388,Hancock,TOWNSHIP,659455,10,Carver,329,28807.684360499999457,2220,1005,28807.684360473707784,46226157.661760941147804,UNIQU_1005
UNIQU_1006,0,283,27614,70370,4599,59,0.835976682050036,1007,664469,Highland,TOWNSHIP,659523,79,Wabasha,456,38481.251877499998955,2196,1006,38481.251877508926555,92638507.469532072544098,UNIQU_1006
UNIQU_1007,0,54240,104003,38,8164,98486,0.208458806255214,1008,664351,Greenwood,TOWNSHIP,662850,69,Saint Louis,1060,68170.162672799997381,1723,1007,68170.162672784295864,238466737.228865206241608,UNIQU_1007
UNIQU_1008,0,1200,195,432,117,2,0.383864337101747,1009,2394836,Funkley,CITY,659449,04,Beltrami,18,8863.762060339999152,991,1008,8863.762060341461620,1776436.791699118213728,UNIQU_1008
UNIQU_1009,0,23401,1274,37876,1222,75,0.656993171281794,1010,664390,Hangaard,TOWNSHIP,659460,15,Clearwater,6,35140.009913000001688,2514,1009,35140.009913002249959,57453450.870462022721767,UNIQU_1009
UNIQU_1010,0,92,431,1512,554,0,0.868134414831981,1011,2394400,Holland,CITY,659504,59,Pipestone,168,7765.442894009999691,1406,1010,7765.442894010651798,2329598.589706613216549,UNIQU_1010
UNIQU_1011,0,10,43,2,943,18,0.948031496062992,1012,2394245,Greenwood,CITY,659472,27,Hennepin,720,9262.298047050000605,2185,1011,9262.298047054464405,915963.687387778423727,UNIQU_1011
UNIQU_1012,0,13441,2465,77278,4263,3074,0.834363963748868,1013,664470,Highland Grove,TOWNSHIP,659459,14,Clay,279,40270.382867400003306,255,1012,40270.382867436783272,90455278.661820590496063,UNIQU_1012
UNIQU_1013,0,10980,31449,5166,945,3479,0.380411003671735,1014,664239,Gail Lake,TOWNSHIP,659463,18,Crow Wing,104,28993.457376300000760,1172,1013,28993.457376332349668,46821494.428005464375019,UNIQU_1013
UNIQU_1014,0,20249,17762,32231,4865,27518,0.450433130328867,1015,664273,Girard,TOWNSHIP,659501,56,Otter Tail,711,38456.238811499999429,2658,1014,38456.238811455637915,92360240.985429123044014,UNIQU_1014
UNIQU_1015,0,61,32,53,587,0,0.898908594815825,1016,2394285,Hanley Falls,CITY,659531,87,Yellow Medicine,233,3256.798466849999841,2226,1015,3256.798466853667378,652181.664133591460995,UNIQU_1015
UNIQU_1016,0,73665,9407,20169,2120,92,0.316902316671882,1017,664533,Huntly,TOWNSHIP,659489,45,Marshall,72,38901.557272999998531,2278,1016,38901.557273026759503,94921199.639967232942581,UNIQU_1016
UNIQU_1017,0,705,356,97168,4145,42,0.991308975160131,1018,664431,Hazel Run,TOWNSHIP,659531,87,Yellow Medicine,188,42066.383553200001188,2679,1017,42066.383553180996387,92162735.792152613401413,UNIQU_1017
UNIQU_1018,0,896,748,3777,4445,113,0.862892073354043,1019,2394288,Hanover,CITY,659530,86,Wright,3194,18116.403300499998295,48,1018,18116.403300536927418,8977032.807443948462605,UNIQU_1018
UNIQU_1019,0,40778,29822,5379,5081,122463,0.130042304800932,1020,664432,Hazelton,TOWNSHIP,663198,01,Aitkin,879,57692.436538599999039,510,1019,57692.436538633017335,183202936.018129020929337,UNIQU_1019
UNIQU_1020,0,1261,691,94836,5018,11,0.984673482817211,1021,664497,Holland,TOWNSHIP,659479,34,Kandiyohi,369,45262.319444399996428,2138,1020,45262.319444426881091,91639144.871735662221909,UNIQU_1020
UNIQU_1021,0,2209,1335,92236,4681,1487,0.958056067799270,1022,664240,Galena,TOWNSHIP,659490,46,Martin,204,40275.987724300000991,726,1021,40275.987724307888129,91758758.697799757122993,UNIQU_1021
UNIQU_1022,0,4269,131,86939,5921,3358,0.927660060824107,1023,664534,Huntsville,TOWNSHIP,659505,60,Polk,447,49737.131657500001893,1187,1022,49737.131657479454589,90554714.025917977094650,UNIQU_1022
UNIQU_1023,0,32598,2414,31372,1827,43,0.548310721715943,1024,664350,Greenwood,TOWNSHIP,659460,15,Clearwater,80,36665.147498300000734,2632,1023,36665.147498285696201,61428802.266436800360680,UNIQU_1023
UNIQU_1024,0,8118,8674,82936,3432,418,0.875180057541177,1025,664433,Hazelton,TOWNSHIP,659480,35,Kittson,100,39498.879550700003165,1936,1024,39498.879550738623948,93220247.735417231917381,UNIQU_1024
UNIQU_1025,0,10287,43724,42779,4128,1421,0.639299778188179,1026,664274,Glasgow,TOWNSHIP,659523,79,Wabasha,266,38370.834618799999589,893,1025,38370.834618811772089,92042422.679345682263374,UNIQU_1025
UNIQU_1026,0,1222,917,92735,4314,120,0.982176662504531,1027,664435,Hector,TOWNSHIP,659510,65,Renville,196,52089.273151100001996,631,1026,52089.273151109620812,89352565.762315526604652,UNIQU_1026
UNIQU_1027,0,319,1837,2532,1095,265,0.726471560846561,1028,2394288,Hanover,CITY,659472,27,Hennepin,680,12727.871669300000576,1728,1027,12727.871669330239456,5498087.968666736967862,UNIQU_1027
UNIQU_1028,0,0,1,434,819,0,0.999521531100479,1029,2394402,Hollandale,CITY,659469,24,Freeborn,314,4840.875263730000370,187,1028,4840.875263727254605,1144419.778525799280033,UNIQU_1028
UNIQU_1029,0,8456,1052,90218,3797,480,0.916140880551523,1030,664241,Gales,TOWNSHIP,659509,64,Redwood,169,38738.980317399997148,2103,1029,38738.980317406261747,93607024.083310887217522,UNIQU_1029
UNIQU_1030,0,19742,6180,73380,2326,2644,0.768683826914224,1031,664353,Gregory,TOWNSHIP,659488,44,Mahnomen,76,38772.881328099996608,1175,1030,38772.881328068964649,93851094.940778166055679,UNIQU_1030
UNIQU_1031,0,154,50,2658,2285,4,0.966491943311978,1032,2394344,Hector,CITY,659510,65,Renville,1012,13274.479156299999886,1594,1031,13274.479156261610115,4659135.407917945645750,UNIQU_1031
UNIQU_1032,0,48514,5622,47001,3658,103,0.550622509485405,1033,664535,Huss,TOWNSHIP,659513,68,Roseau,123,39265.306922399999166,1245,1032,39265.306922427975223,94412416.002687454223633,UNIQU_1032
UNIQU_1033,0,43311,38058,11206,4564,8183,0.335393365108904,1034,664275,Glen,TOWNSHIP,663198,01,Aitkin,448,38934.493069099997228,1469,1033,38934.493069124895555,94738940.159296616911888,UNIQU_1033
UNIQU_1034,0,40,0,113,559,0,0.949438202247191,1035,2394291,Hanska,CITY,659453,08,Brown,381,3589.304259229999843,261,1034,3589.304259233304037,635027.443429458071478,UNIQU_1034
UNIQU_1035,0,1056,35,2873,956,0,0.802560975609756,1036,2394405,Holloway,CITY,659520,76,Swift,89,11736.925179100000605,1489,1035,11736.925179093201223,4431845.551148354075849,UNIQU_1035
UNIQU_1036,0,9073,2018,78351,3798,9366,0.817335243553009,1037,664436,Hegbert,TOWNSHIP,659520,76,Swift,81,38405.606474699998216,1181,1036,38405.606474663356494,92344360.906745433807373,UNIQU_1036
UNIQU_1037,0,4444,4361,77577,6047,6447,0.867883004975930,1038,664537,Hutchinson,TOWNSHIP,659491,43,McLeod,1238,43083.945859599996766,270,1037,43083.945859635263332,89026244.870866119861603,UNIQU_1037
UNIQU_1038,0,984,3220,732,1363,2476,0.396740740740741,1039,664354,Grey Cloud Island,TOWNSHIP,659526,82,Washington,285,23167.761173300001246,2048,1038,23167.761173253096786,7878944.688145750202239,UNIQU_1038
UNIQU_1039,0,1994,420,96169,3369,206,0.977949842400987,1040,664437,Hegne,TOWNSHIP,659499,54,Norman,43,38347.317354500002693,317,1039,38347.317354505597905,91937455.869450345635414,UNIQU_1039
UNIQU_1040,0,224,15,1573,7250,22,0.974394539850286,1041,2394912,Glencoe,CITY,659491,43,McLeod,5832,30907.555098500000895,397,1040,30907.555098528555391,8187402.817240308970213,UNIQU_1040
UNIQU_1041,0,8099,10455,71099,3268,4289,0.816365600246888,1042,664394,Hansonville,TOWNSHIP,659486,41,Lincoln,80,37445.341421400000399,2552,1041,37445.341421353819896,87495526.644204646348953,UNIQU_1041
UNIQU_1042,0,1933,5305,91508,4034,74,0.951419487817683,1043,664501,Holly,TOWNSHIP,659496,51,Murray,98,38512.819741500003147,1876,1042,38512.819741491803143,92569606.294746875762939,UNIQU_1042
